2020-08-10T23:09:28.871719||Snake Game Log
2020-08-10T23:09:28.871719||Log File Created
2020-08-10T23:09:28.872719||Import basic game funcrions
2020-08-10T23:09:28.872719||Loading Configurations...
2020-08-10T23:09:28.873716||Load Configurations Completed
2020-08-10T23:09:29.171572||pygame init completed
2020-08-10T23:09:29.172546||Start Global Variables init...
2020-08-10T23:09:29.303189||Display init completed
2020-08-10T23:09:29.303189||Colour Init Completed
2020-08-10T23:09:29.303189||Font Init Completed
2020-08-10T23:09:29.303189||Clock init completed
2020-08-10T23:09:29.304186||Global Variables init completed
2020-08-10T23:09:29.304186||Starting Game...
2020-08-10T23:09:29.304186||Start Init Game variables...
2020-08-10T23:09:29.304186||Init Game variables Completed
2020-08-10T23:09:32.630273||Select High Score
2020-08-10T23:09:34.239566||Select Level
2020-08-10T23:09:34.718286||Level 3
2020-08-10T23:09:35.160352||Select Game Type
2020-08-10T23:09:36.468909||Select No Barrier
2020-08-10T23:09:37.068454||Select Start Game
2020-08-10T23:13:00.774045||Select Quit Game
2020-08-10T23:13:00.774045||Quiting the Game...
2020-08-10T23:13:01.104043||Game Quit
2020-08-10T23:13:01.104043||Game finished
2020-08-10T23:13:01.105040||Log finished
